No,Collection,Species,Locality,SampleID,Short_name
78,1532,E. barbinodis,,1532,
79,1547,E. brevifolia brevifolia,,1547,
80,1526,E. brevifolia cuspidata,,1526,
81,1556,E. bulbosa,,1556,
84,1544,E. calycina,Clanwilliam,1544,
83,1523,E. calycina gracile,,1523,
82,1534,E. calycina robust,,1534,
1517,M2_S2_L001,E. calycina robust,,1517,
85,1555,E. capensis,,1555,
86,1542,E. delicatula,,1542,
87,1646,E. dura,,1646,
1638,M3_S3_L001,E. dura,,1638,
88,1516,E. eburnea ,,1516,
89,1552,E. erecta,,1552,
90,1525,E. longiflora,,1525,
91,1625-u,E. longifolia,,1625,
92,1519,E. melicoides,,1519,
93,1628-3,E. microlaena,,1628,
94,1554,E. ottonis,,1554,
95,1535,E. pusilla,,1535,
6,1622-1,E. ramosa aphylla,Milner Peak,1622,aphylla
1,1566-3,E. ramosa aphylla,Sir Lowry's Pass,1566,aphylla
4,1601-1,E. ramosa aphylla,Leopardskloof,1601,aphylla
5,1609-1,E. ramosa aphylla,Limietberg,1609,aphylla
2,1570-1,E. ramosa aphylla,Cape Peninsula,1570,aphylla
3,1576-1,E. ramosa aphylla,Landroskop,1576,aphylla
1570-2,M4_S4_L001,E. ramosa aphylla,Cape Peninsula,1570,aphylla
15,1643-2,E. ramosa ramosa,Boosmansbos,1643,ramosa
16,1645-1,E. ramosa ramosa,Robinson's pass,1645,ramosa
12,1624-2,E. ramosa ramosa,Milner Peak,1624,ramosa
7,1560-2,E. ramosa ramosa,Galgeberg,1560,ramosa
9,1588-2,E. ramosa ramosa,Franschhoek,1588,ramosa
10,1606-2,E. ramosa ramosa,Jonaskop,1606,ramosa
17,1654-1,E. ramosa ramosa,Swartberg,1654,ramosa
18,1656-2,E. ramosa ramosa,Seweweeks,1656,ramosa
8,1585-1,E. ramosa ramosa,Dasklip,1585,ramosa
11,1611-2,E. ramosa ramosa,Limietberg,1611,ramosa
14,1635-2,E. ramosa ramosa,Marloth,1635,ramosa
1626-3,M9_S9_L001,E. ramosa ramosa,Du Toitskloof,1626,ramosa
52,1658-5,E. rehmannii filiformis,Agulhas,1658,filiformis
47,1567-5,E. rehmannii filiformis,Sir Lowry's Pass,1567,filiformis
49,1591-2,E. rehmannii filiformis,Pringle Bay,1591,filiformis
50,1592-2,E. rehmannii filiformis,Fernkloof,1592,filiformis
53,LW1-1,E. rehmannii filiformis,Cape Peninsula,LW1,filiformis
51,1615-2,E. rehmannii filiformis,Cape Peninsula,1615,filiformis
1592-1,M6_S6_L001,E. rehmannii filiformis,Fernkloof,1592,filiformis
54,1649-1,E. rehmannii rehmannii,Robinson's pass,1649,rehmannii
55,1652-1,E. rehmannii rehmannii,Nature's valley,1652,rehmannii
56,1653-4,E. rehmannii rehmannii,Joubertina,1653,rehmannii
1649-2,M12_S12_L001,E. rehmannii rehmannii,Robinson's pass,1649,rehmannii
40,1660-2,E. rehmannii sp.,Agulhas,1660,subspicata
46,1659-2,E. rehmannii subspicata,Agulhas,1659,subspicata
44,1590-3,E. rehmannii subspicata,Betty's Bay,1590,subspicata
45,LW3-1,E. rehmannii subspicata,Cape Peninsula,LW3,subspicata
32,1616-3,E. rupestris dodii,Cape Peninsula,1616,dodii
29,1565-4,E. rupestris dodii,Sir Lowry's Pass,1565,dodii
31,1602-3,E. rupestris dodii,Leopardskloof,1602,dodii
33,1639-1,E. rupestris dodii,Boosmansbos,1639,dodii
30,1578-1,E. rupestris dodii,Landroskop,1578,dodii
1639-3,M11_S11_L001,E. rupestris dodii,Boosmansbos,1639,dodii
57,1559-4,E. rupestris rupestris,Greyton,1559,rupestris
62,SM123-1,E. rupestris rupestris,Pilaarkop,123,rupestris
59,1605-3,E. rupestris rupestris,Jonaskop,1605,rupestris
61,1655-1,E. rupestris rupestris,Seweweeks,1655,rupestris
63,LW2-2,E. rupestris rupestris,Swartberg,LW2,rupestris
60,1634-2,E. rupestris rupestris,Marloth,1634,rupestris
1634-3,M10_S10_L001,E. rupestris rupestris,Marloth,1634,rupestris
58,1586-1,E. rupestris sp.,Wemmershoek,1586,unknown
25,1640-2,E. rupestris tricostata,Boosmansbos,1640,tricostata
26,1648-2,E. rupestris tricostata,Robinson's pass,1648,tricostata
27,1657-2,E. rupestris tricostata,Wemmershoek,1657,tricostata
28,1661-2,E. rupestris tricostata,Cape Peninsula,1661,tricostata
20,1618-1,E. rupestris tricostata,Milner Peak,1618,tricostata
24,1621-4,E. rupestris tricostata,Milner Peak,1621,tricostata
21,1579-2,E. rupestris tricostata,Landroskop,1579,tricostata
23,1603-3,E. rupestris tricostata,Leopardskloof,1603,tricostata
22,1594-2,E. rupestris tricostata,Fernkloof,1594,tricostata
19,1632-2,E. rupestris tricostata,Marloth,1632,tricostata
1594-2,M7_S7_L001,E. rupestris tricostata,Fernkloof,1594 repeat,tricostata
34,1589-3,E. setacea disticha,Buffelstalberg,1589,disticha
35,1597-2,E. setacea disticha,Fernkloof,1597,disticha
36,1598-2,E. setacea disticha,Fernkloof,1598,disticha
1589-1,M5_S5_L001,E. setacea disticha,Buffelstalberg,1589,disticha
39,1644-2,E. setacea scabra,Garcia's pass,1644,scabra
38,1636-3,E. setacea scabra,Boosmansbos,1636,scabra
37,1631-2,E. setacea scabra,Marloth,1631,scabra
5,1614-1,E. setacea setacea,Cape Peninsula,1614,setacea
64,1557-3,E. setacea setacea,Greyton,1557,setacea
75,1564-3,E. setacea setacea,Sir Lowry's Pass,1564,setacea
66,1587-3,E. setacea setacea,Franschhoek,1587,setacea
70,1610-3,E. setacea setacea,Limietberg,1610,setacea
65,1577-1,E. setacea setacea,Landroskop,1577,setacea
77,1593-4,E. setacea setacea,Fernkloof,1593,setacea
67,1595-21,E. setacea setacea,Fernkloof,1595,setacea
68,1599-1,E. setacea setacea,Fernkloof,1599,setacea
69,1600-2,E. setacea setacea,Fernkloof,1600,setacea
73,1629-3,E. setacea setacea,Du toitskloof,1629,setacea
74,1633-2,E. setacea setacea,Marloth,1633,setacea
1617-2,M8_S8_L001,E. setacea setacea,Cape Peninsula,1617,setacea
41,1558-5,E. setacea sp.,Waenosse,1558,unknown
43,1604-3,E. setacea uniflora,Betty's Bay,1604,uniflora
42,1572-2,E. setacea uniflora,Cape Peninsula,1572,uniflora
96,1551,E. thunbergii,,1551,
97,1543,E. triandra,,1543,
98,1549,E. villosa maxima,,1549,
99,1550,E. villosa villosa,,1550,
M1,M1_S1_L001,Microlaena stipoides,,,
100,S0515,Tetrarrhena laevis,,,
