Pop,Species_current,Clade,Major_groups,easting,e_mins,e_secs,southing,s_mins,s_secs,Elevation
123,E_rupestris_rupestris,rupestris_original,rupestris,19,51.1629,,-34,5.2727,,
1557,E_setacea_setacea,setacea,rupestris,19,37.968,,-34,0.684,,1381
1557,E_setacea_setacea,setacea,rupestris,19,37.968,,-34,0.684,,1381
1557,E_setacea_setacea,setacea,rupestris,19,37.968,,-34,0.684,,1381
1557,E_setacea_setacea,setacea,rupestris,19,37.968,,-34,0.684,,1381
1559,E_rupestris_rupestris,rupestris_original,rupestris,19,40.125,,-34,0.505,,
1559,E_rupestris_rupestris,rupestris_original,rupestris,19,40.125,,-34,0.505,,
1559,E_rupestris_rupestris,rupestris_original,rupestris,19,40.125,,-34,0.505,,
1559,E_rupestris_rupestris,rupestris_original,rupestris,19,40.125,,-34,0.505,,
1564,E_setacea_setacea,setacea,rupestris,18,57.965,,-34,6.166,,1165
1564,E_setacea_setacea,setacea,rupestris,18,57.965,,-34,6.166,,1165
1564,E_setacea_setacea,setacea,rupestris,18,57.965,,-34,6.166,,1165
1564,E_setacea_setacea,setacea,rupestris,18,57.965,,-34,6.166,,1165
1565,E_rupestris_dodii,dodii_original,rupestris,18,57.965,,-34,6.166,,1165
1565,E_rupestris_dodii,dodii_original,rupestris,18,57.965,,-34,6.166,,1165
1565,E_rupestris_dodii,dodii_original,rupestris,18,57.965,,-34,6.166,,1165
1565,E_rupestris_dodii,dodii_original,rupestris,18,57.965,,-34,6.166,,1165
1579,E_rupestris_tricostata,tricostata_original,rupestris,19,0.323,,-34,2.963,,1062
1579,E_rupestris_tricostata,tricostata_original,rupestris,19,0.323,,-34,2.963,,1062
1579,E_rupestris_tricostata,tricostata_original,rupestris,19,0.323,,-34,2.963,,1062
1579,E_rupestris_tricostata,tricostata_original,rupestris,19,0.323,,-34,2.963,,1062
1586,,,,,,,,,,
1589,E_setacea_disticha,fernkloof_setacea,rupestris,18,51.473,,-34,18.53,,603
1589,E_setacea_disticha,fernkloof_setacea,rupestris,18,51.473,,-34,18.53,,603
1589,E_setacea_disticha,fernkloof_setacea,rupestris,18,51.473,,-34,18.53,,603
1594,E_rupestris_tricostata,tricostata_original,rupestris,19,16.348,,-34,23.342,,320
1594,E_rupestris_tricostata,tricostata_original,rupestris,19,16.348,,-34,23.342,,320
1594,E_rupestris_tricostata,tricostata_original,rupestris,19,16.348,,-34,23.342,,320
1594,E_rupestris_tricostata,tricostata_original,rupestris,19,16.348,,-34,23.342,,320
1597,E_setacea_disticha,fernkloof_setacea,rupestris,19,17.431,,-34,22.718,,699
1597,E_setacea_disticha,fernkloof_setacea,rupestris,19,17.431,,-34,22.718,,699
1597,E_setacea_disticha,fernkloof_setacea,rupestris,19,17.431,,-34,22.718,,699
1597,E_setacea_disticha,fernkloof_setacea,rupestris,19,17.431,,-34,22.718,,699
1600,E_setacea_setacea,fernkloof_setacea,rupestris,19,16.203,,-34,23.138,,340
1600,E_setacea_setacea,fernkloof_setacea,rupestris,19,16.203,,-34,23.138,,340
1600,E_setacea_setacea,fernkloof_setacea,rupestris,19,16.203,,-34,23.138,,340
1600,E_setacea_setacea,fernkloof_setacea,rupestris,19,16.203,,-34,23.138,,340
1602,E_rupestris_dodii,dodii_original,rupestris,18,56.062,,-34,20.547,,297
1602,E_rupestris_dodii,dodii_original,rupestris,18,56.062,,-34,20.547,,297
1602,E_rupestris_dodii,dodii_original,rupestris,18,56.062,,-34,20.547,,297
1602,E_rupestris_dodii,dodii_original,rupestris,18,56.062,,-34,20.547,,297
1604,E_setacea_uniflora,uniflora,rupestris,18,51.718,,-34,21.315,,36
1604,E_setacea_uniflora,uniflora,rupestris,18,51.718,,-34,21.315,,36
1604,E_setacea_uniflora,uniflora,rupestris,18,51.718,,-34,21.315,,36
1604,E_setacea_uniflora,uniflora,rupestris,18,51.718,,-34,21.315,,36
1605,E_rupestris_rupestris,rupestris_original,rupestris,19,30.509,,-33,58.263,,1580
1610,E_setacea_setacea,setacea,rupestris,19,8.648,,-33,37.97,,1049
1610,E_setacea_setacea,setacea,rupestris,19,8.648,,-33,37.97,,1049
1610,E_setacea_setacea,setacea,rupestris,19,8.648,,-33,37.97,,1049
1610,E_setacea_setacea,setacea,rupestris,19,8.648,,-33,37.97,,1049
1616,E_rupestris_dodii,dodii_original,rupestris,18,23.559,,-34,3.603,,634
1616,E_rupestris_dodii,dodii_original,rupestris,18,23.559,,-34,3.603,,634
1616,E_rupestris_dodii,dodii_original,rupestris,18,23.559,,-34,3.603,,634
1616,E_rupestris_dodii,dodii_original,rupestris,18,23.559,,-34,3.603,,634
1617,E_setacea_setacea,setacea,rupestris,18,24.767,,-33,57.903,,1049
1617,E_setacea_setacea,setacea,rupestris,18,24.767,,-33,57.903,,1049
1617,E_setacea_setacea,setacea,rupestris,18,24.767,,-33,57.903,,1049
1617,E_setacea_setacea,setacea,rupestris,18,24.767,,-33,57.903,,1049
1621,E_rupestris_tricostata,milner_group,rupestris,19,26.985,,-33,27.554,,1518
1621,E_rupestris_tricostata,milner_group,rupestris,19,26.985,,-33,27.554,,1518
1621,E_rupestris_tricostata,milner_group,rupestris,19,26.985,,-33,27.554,,1518
1621,E_rupestris_tricostata,milner_group,rupestris,19,26.985,,-33,27.554,,1518
1631,E_setacea_scabra,scabra,rupestris,20,27.763,,-33,59.607,,455
1631,E_setacea_scabra,scabra,rupestris,20,27.763,,-33,59.607,,455
1631,E_setacea_scabra,scabra,rupestris,20,27.763,,-33,59.607,,455
1631,E_setacea_scabra,scabra,rupestris,20,27.763,,-33,59.607,,455
1632,E_rupestris_tricostata,milner_group,rupestris,20,28.045,,-33,59.421,,569
1632,E_rupestris_tricostata,milner_group,rupestris,20,28.045,,-33,59.421,,569
1632,E_rupestris_tricostata,milner_group,rupestris,20,28.045,,-33,59.421,,569
1632,E_rupestris_tricostata,milner_group,rupestris,20,28.045,,-33,59.421,,569
1633,E_setacea_setacea,setacea,rupestris,20,28.391,,-33,58.904,,1162
1633,E_setacea_setacea,setacea,rupestris,20,28.391,,-33,58.904,,1162
1633,E_setacea_setacea,setacea,rupestris,20,28.391,,-33,58.904,,1162
1633,E_setacea_setacea,setacea,rupestris,20,28.391,,-33,58.904,,1162
1634,E_rupestris_rupestris,rupestris_original,rupestris,20,28.466,,-33,58.946,,1185
1634,E_rupestris_rupestris,rupestris_original,rupestris,20,28.466,,-33,58.946,,1185
1634,E_rupestris_rupestris,rupestris_original,rupestris,20,28.466,,-33,58.946,,1185
1634,E_rupestris_rupestris,rupestris_original,rupestris,20,28.466,,-33,58.946,,1185
1648,E_rupestris_tricostata,milner_group,rupestris,22,1.729,,-33,52.344,,793
1648,E_rupestris_tricostata,milner_group,rupestris,22,1.729,,-33,52.344,,793
1648,E_rupestris_tricostata,milner_group,rupestris,22,1.729,,-33,52.344,,793
1648,E_rupestris_tricostata,milner_group,rupestris,22,1.729,,-33,52.344,,793
1655,E_rupestris_rupestris,rupestris_swartberg,rupestris,21,21.282,,-33,22.83,,1542
1655,E_rupestris_rupestris,rupestris_swartberg,rupestris,21,21.282,,-33,22.83,,1542
1655,E_rupestris_rupestris,rupestris_swartberg,rupestris,21,21.282,,-33,22.83,,1542
1655,E_rupestris_rupestris,rupestris_swartberg,rupestris,21,21.282,,-33,22.83,,1542
1657,E_rupestris_tricostata,wemmershoek,rupestris,19,3.567,,-33,48.577,,502
1657,E_rupestris_tricostata,wemmershoek,rupestris,19,3.567,,-33,48.577,,502
1657,E_rupestris_tricostata,wemmershoek,rupestris,19,3.567,,-33,48.577,,502
1657,E_rupestris_tricostata,wemmershoek,rupestris,19,3.567,,-33,48.577,,502
1661,E_rupestris_tricostata,tricostata_original,rupestris,18,26.894,,-34,5.992,,409
1661,E_rupestris_tricostata,tricostata_original,rupestris,18,26.894,,-34,5.992,,409
1661,E_rupestris_tricostata,tricostata_original,rupestris,18,26.894,,-34,5.992,,409
1661,E_rupestris_tricostata,tricostata_original,rupestris,18,26.894,,-34,5.992,,409
2,E_rupestris_rupestris,rupestris_swartberg,rupestris,22,2.131,,-33,21.219,,1751
2,E_rupestris_rupestris,rupestris_swartberg,rupestris,22,2.131,,-33,21.219,,1751
2,E_rupestris_rupestris,rupestris_swartberg,rupestris,22,2.131,,-33,21.219,,1751
2,E_rupestris_rupestris,rupestris_swartberg,rupestris,22,2.131,,-33,21.219,,1751
1567,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,57.965,,-34,6.166,,1165
1567,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,57.965,,-34,6.166,,1165
1567,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,57.965,,-34,6.166,,1165
1567,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,57.965,,-34,6.166,,1165
1590,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,18,50.119,,-34,20.411,,0
1590,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,18,50.119,,-34,20.411,,0
1590,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,18,50.119,,-34,20.411,,0
1590,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,18,50.119,,-34,20.411,,0
1591,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,50.119,,-34,20.411,,0
1591,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,50.119,,-34,20.411,,0
1591,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,50.119,,-34,20.411,,0
1591,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,50.119,,-34,20.411,,0
1592,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,16.171,,-34,23.43,,
1592,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,16.171,,-34,23.43,,
1592,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,16.171,,-34,23.43,,
1592,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,16.171,,-34,23.43,,
1615,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,18,23.559,,-34,3.603,,634
1649,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,22,1.45,,-33,52.264,,835
1649,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,22,1.45,,-33,52.264,,835
1649,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,22,1.45,,-33,52.264,,835
1649,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,22,1.45,,-33,52.264,,835
1652,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,23,41.136,,-33,58.174,,224
1652,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,23,41.136,,-33,58.174,,224
1652,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,23,41.136,,-33,58.174,,224
1652,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,23,41.136,,-33,58.174,,224
1653,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,24,2.161,,-33,52.252,,367
1653,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,24,2.161,,-33,52.252,,367
1653,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,24,2.161,,-33,52.252,,367
1653,E_rehmannii_rehmannii,E_rehmannii_rehmannii,rehmanni,24,2.161,,-33,52.252,,367
1658,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,40.34,,-34,28.297,,131
1658,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,40.34,,-34,28.297,,131
1658,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,40.34,,-34,28.297,,131
1658,E_rehmannii_filiformis,E_rehmannii_filiformis,rehmanni,19,40.34,,-34,28.297,,131
1659,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,19,40.797,,-34,39.869,,62
1659,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,19,40.797,,-34,39.869,,62
1659,E_rehmannii_subspicata,E_rehmannii_subspicata,rehmanni,19,40.797,,-34,39.869,,62
