seq,seq,N,S,dN,dS,dN/dS,Paras.,,,
2,1,16910.8,6378.2,0.0111,0.0741,0.1498,0.0851,2.5098,0.1498,-34752.678
3,1,16779,6510,0.0118,0.0887,0.1326,0.0998,2.9447,0.1326,-35083.112
3,2,16908.9,6380.1,0.0132,0.0999,0.1322,0.1109,2.5335,0.1322,-35409.772
4,1,17038.1,6250.9,0.0174,0.1009,0.1729,0.1195,2.1477,0.1729,-35781.901
4,2,17081.9,6207.1,0.0196,0.1106,0.1777,0.1316,2.0598,0.1777,-36124.848
4,3,16959.3,6329.7,0.0187,0.1163,0.1607,0.1356,2.3817,0.1607,-36137.811
5,1,16798.3,6490.7,0.0118,0.0888,0.1324,0.0997,2.8857,0.1324,-35068.387
5,2,16950.2,6338.8,0.0139,0.0996,0.1399,0.1118,2.4168,0.1399,-35448.711
5,3,17055.6,6233.4,0.005,0.0334,0.1486,0.0378,2.1153,0.1486,-33231.089
5,4,16976.7,6312.3,0.019,0.1156,0.1642,0.1355,2.3401,0.1642,-36140.125
6,1,16776.6,6512.4,0.0115,0.0747,0.1544,0.0876,2.9079,0.1544,-34803.721
6,2,16931,6358,0.0135,0.0902,0.1496,0.1033,2.4279,0.1496,-35258.926
6,3,16860.8,6428.2,0.0118,0.0832,0.1421,0.0945,2.6361,0.1421,-34984.722
6,4,16978.9,6310.1,0.019,0.1011,0.1879,0.1237,2.2895,0.1879,-35921.939
6,5,16840,6449,0.0122,0.0843,0.1451,0.0965,2.7158,0.1451,-35025.401
7,1,16856.1,6432.9,0.0117,0.0839,0.1389,0.0949,2.684,0.1389,-34993.445
7,2,16954.7,6334.3,0.0133,0.0935,0.1424,0.1054,2.404,0.1424,-35310.234
7,3,16889.1,6399.9,0.0062,0.046,0.1339,0.0513,2.595,0.1339,-33686.677
7,4,16998,6291,0.0195,0.1108,0.176,0.1325,2.2805,0.176,-36119.269
7,5,16936.2,6352.8,0.0066,0.0421,0.1562,0.0488,2.4579,0.1562,-33622.601
7,6,16890,6399,0.0126,0.083,0.1519,0.0958,2.5527,0.1519,-35052.628
8,1,16778.5,6510.5,0.0113,0.0874,0.1291,0.0977,2.9342,0.1291,-35012.822
8,2,16916.6,6372.4,0.0128,0.0975,0.1311,0.1079,2.4985,0.1311,-35329.743
8,3,17072.1,6216.9,0.0038,0.0256,0.1496,0.0289,2.0569,0.1496,-32921.008
8,4,16972.8,6316.2,0.0188,0.1164,0.161,0.1357,2.3322,0.161,-36144.212
8,5,16971.7,6317.3,0.0041,0.03,0.137,0.0334,2.3333,0.137,-33053.011
8,6,16866.5,6422.5,0.0113,0.083,0.1358,0.0932,2.6062,0.1358,-34932.093
8,7,16801.7,6487.3,0.0057,0.0446,0.1283,0.0496,2.8827,0.1283,-33610.607
9,1,16866,6423,0.0115,0.087,0.1322,0.097,2.6078,0.1322,-35031.046
9,2,16936.8,6352.2,0.0138,0.0996,0.1387,0.1116,2.417,0.1387,-35452.802
9,3,16826.1,6462.9,0.012,0.1012,0.1182,0.1102,2.7606,0.1182,-35317.224
9,4,17128.4,6160.6,0.0136,0.0727,0.1872,0.0877,1.9123,0.1872,-34946.657
9,5,16881.6,6407.4,0.0127,0.1006,0.1268,0.1107,2.5856,0.1268,-35361.689
9,6,16845.5,6443.5,0.0132,0.0907,0.1452,0.1039,2.6534,0.1452,-35254.039
9,7,16872.9,6416.1,0.0125,0.0988,0.1261,0.1088,2.6146,0.1261,-35327.997
9,8,16830.8,6458.2,0.0121,0.1,0.121,0.1095,2.7326,0.121,-35310.253
10,1,16922,6367,0.012,0.0866,0.1386,0.0972,2.4288,0.1386,-35063.546
10,2,16997.6,6291.4,0.0141,0.099,0.142,0.111,2.2392,0.142,-35460.016
10,3,16884.5,6404.5,0.0123,0.1033,0.1188,0.1119,2.5612,0.1188,-35378.024
