Individ,Pop,Species_current
A1566_1,A1566,E_ramosa_aphylla
A1566_3,A1566,E_ramosa_aphylla
A1566_4,A1566,E_ramosa_aphylla
A1566_5,A1566,E_ramosa_aphylla
A1570_1,A1570,E_ramosa_aphylla
A1570_2,A1570,E_ramosa_aphylla
A1570_5,A1570,E_ramosa_aphylla
A1570_6,A1570,E_ramosa_aphylla
A1585_1,A1585,E_ramosa_ramosa
A1585_3,A1585,E_ramosa_ramosa
A1585_4,A1585,E_ramosa_ramosa
A1585_5,A1585,E_ramosa_ramosa
A1588_1,A1588,E_ramosa_ramosa
A1588_3,A1588,E_ramosa_ramosa
A1588_4,A1588,E_ramosa_ramosa
A1588_5,A1588,E_ramosa_ramosa
A1601_1,A1601,E_ramosa_aphylla
A1601_2,A1601,E_ramosa_aphylla
A1601_3,A1601,E_ramosa_aphylla
A1601_5,A1601,E_ramosa_aphylla
A1609_2,A1609,E_ramosa_aphylla
A1609_3,A1609,E_ramosa_aphylla
A1609_4,A1609,E_ramosa_aphylla
A1609_5,A1609,E_ramosa_aphylla
A1622_1,A1622,E_ramosa_aphylla
A1622_2,A1622,E_ramosa_aphylla
A1622_3,A1622,E_ramosa_aphylla
A1622_5,A1622,E_ramosa_aphylla
A1624_2,A1624,E_ramosa_ramosa
A1624_3,A1624,E_ramosa_ramosa
A1624_4,A1624,E_ramosa_ramosa
A1624_5,A1624,E_ramosa_ramosa
A1635_2,A1635,E_ramosa_ramosa
A1635_3,A1635,E_ramosa_ramosa
A1635_4,A1635,E_ramosa_ramosa
A1635_5,A1635,E_ramosa_ramosa
A1645_1,A1645,E_ramosa_ramosa
A1645_2,A1645,E_ramosa_ramosa
A1645_3,A1645,E_ramosa_ramosa
A1645_5,A1645,E_ramosa_ramosa
A1654_1,A1654,E_ramosa_ramosa
A1654_3,A1654,E_ramosa_ramosa
A1654_4,A1654,E_ramosa_ramosa
A1654_5,A1654,E_ramosa_ramosa
A1656_2,A1656,E_ramosa_ramosa
A1656_3,A1656,E_ramosa_ramosa
A1656_4,A1656,E_ramosa_ramosa
A1656_5,A1656,E_ramosa_ramosa
