Individ,Pop,Species_current
A1567_1,A1567,E_rehmannii_filiformis
A1567_2,A1567,E_rehmannii_filiformis
A1567_4,A1567,E_rehmannii_filiformis
A1567_5,A1567,E_rehmannii_filiformis
A1590_1,A1590,E_rehmannii_subspicata
A1590_2,A1590,E_rehmannii_subspicata
A1590_4,A1590,E_rehmannii_subspicata
A1590_5,A1590,E_rehmannii_subspicata
A1591_1,A1591,E_rehmannii_filiformis
A1591_4,A1591,E_rehmannii_filiformis
A1591_5,A1591,E_rehmannii_filiformis
A1591_6,A1591,E_rehmannii_filiformis
A1592_3,A1592,E_rehmannii_filiformis
A1592_4,A1592,E_rehmannii_filiformis
A1592_5,A1592,E_rehmannii_filiformis
A1592_6,A1592,E_rehmannii_filiformis
A1649_1,A1649,E_rehmannii_rehmannii
A1649_2,A1649,E_rehmannii_rehmannii
A1649_3,A1649,E_rehmannii_rehmannii
A1649_5,A1649,E_rehmannii_rehmannii
A1652_1,A1652,E_rehmannii_rehmannii
A1652_3,A1652,E_rehmannii_rehmannii
A1652_5,A1652,E_rehmannii_rehmannii
A1652_6,A1652,E_rehmannii_rehmannii
A1653_1,A1653,E_rehmannii_rehmannii
A1653_2,A1653,E_rehmannii_rehmannii
A1653_3,A1653,E_rehmannii_rehmannii
A1653_4,A1653,E_rehmannii_rehmannii
A1658_1,A1658,E_rehmannii_filiformis
A1658_2,A1658,E_rehmannii_filiformis
A1658_3,A1658,E_rehmannii_filiformis
A1658_5,A1658,E_rehmannii_filiformis
A1659_1,A1659,E_rehmannii_subspicata
A1659_2,A1659,E_rehmannii_subspicata
A1659_3,A1659,E_rehmannii_subspicata
A1659_4,A1659,E_rehmannii_subspicata
A1660_1,A1660,E_rehmannii_subspicata
A1660_2,A1660,E_rehmannii_subspicata
A1660_3,A1660,E_rehmannii_subspicata
A1660_4,A1660,E_rehmannii_subspicata
ALW1_1 ,ALW1,E_rehmannii_filiformis
ALW1_2 ,ALW1,E_rehmannii_filiformis
ALW1_3 ,ALW1,E_rehmannii_filiformis
ALW1_4 ,ALW1,E_rehmannii_filiformis
ALW3_1 ,ALW3,E_rehmannii_subspicata
ALW3_3 ,ALW3,E_rehmannii_subspicata
ALW3_4 ,ALW3,E_rehmannii_subspicata
ALW3_5 ,ALW3,E_rehmannii_subspicata
