generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1544,1629-3,0,0.0352713,0,0.005,0
1000,1544,1629-3,0,0.0793057,0.0887169,0.0385629,0
1000,1556,NA,27.7457,0.0254752,0.0025884,0.194736,0
2000,1544,1629-3,0,0.335909,-0.034258,0.0603049,0
3000,1544,1629-3,0,0.479786,-0.0304482,0.248758,0
4000,1544,1629-3,0,0.268056,-0.0266512,0.1056,0
5000,1544,1629-3,0,0.168225,-0.0105572,0.0161298,0
6000,1544,1629-3,0,0.312792,-0.0519815,0.0108871,0
7000,1544,1629-3,0,0.196529,-0.0132124,0.115736,0
8000,1544,1629-3,0,0.0640626,0.0544417,0.0188208,0
9000,1544,1629-3,0,0.199622,-0.0174295,0.0888776,0
10000,1544,1629-3,0,0.105844,0.00477175,0.0111901,0
11000,1544,1629-3,0,0.257963,-0.0229542,0.0664046,0
12000,1544,1629-3,0,0.0889214,0.0257376,0.0154246,0
13000,1544,1629-3,0,0.114873,0.00545867,0.0592225,0
14000,1544,1629-3,0,0.109284,0.069896,0.107286,0
15000,1544,1629-3,0,0.0950673,0.013528,0.0352089,0
16000,1544,1629-3,0,0.18545,-0.0116809,0.0192779,0
17000,1544,1629-3,0,0.0803763,0.0340228,0.0364163,0
18000,1544,1629-3,0,0.0893702,0.0472211,0.0250596,0
18000,1625-u,NA,21.4142,0.0810696,0.0135953,0.114962,0
19000,1544,1629-3,0,0.0799236,0.0440633,0.0234371,0
20000,1544,1629-3,0,0.189618,-0.00462953,0.0791894,0
21000,1544,1629-3,0,0.112171,0.0492075,0.0443564,0
22000,1544,1629-3,0,0.129777,0.0014481,0.0073958,0
23000,1544,1629-3,0,0.147039,-0.0182786,0.00667957,0
24000,1544,1629-3,0,0.111867,0.00390081,0.02006,0
25000,1544,1629-3,0,0.130668,0.00676955,0.0245699,0
26000,1544,1629-3,0,0.117447,-0.0056085,0.00619971,0
27000,1544,1629-3,0,0.113839,0.00468003,0.0231712,0
28000,1544,1629-3,0,0.31116,-0.0276749,0.0810108,0
28000,1602-3,NA,26.7946,0.306953,-0.0137149,0.127243,0
29000,1544,1629-3,0,0.247846,-0.0099209,0.0476851,0
30000,1544,1629-3,0,0.0628938,0.0570439,0.00664597,0
31000,1544,1629-3,0,0.160747,-0.0169087,0.00413384,0
32000,1544,1629-3,0,0.257605,-0.0230547,0.0480439,0
33000,1544,1629-3,0,0.14077,0.0325219,0.0886072,0
34000,1544,1629-3,0,0.0878724,0.0244149,0.0291707,0
34000,1519,NA,22.8636,0.111681,-0.0158727,0.881754,0
35000,1544,1629-3,0,0.0952491,0.0444282,0.022586,0
36000,1544,1629-3,0,0.120593,0.00179048,0.0113211,0
37000,1544,1629-3,0,0.0906042,0.0115333,0.024908,0
38000,1544,1629-3,0,0.208512,-0.0144706,0.0474218,0
39000,1544,1629-3,0,0.109143,0.0473751,0.0783725,0
40000,1544,1629-3,0,0.194092,-0.00677206,0.0548254,0
41000,1544,1629-3,0,0.0778327,0.0456912,0.022885,0
42000,1544,1629-3,0,0.155502,-0.0175348,0.00745107,0
43000,1544,1629-3,0,0.132318,0.00384982,0.0259576,0
44000,1544,1629-3,0,0.0969509,0.0463953,0.0633536,0
45000,1544,1629-3,0,0.475726,-0.032223,0.227818,0
46000,1544,1629-3,0,0.118128,0.00936272,0.0449458,0
47000,1544,1629-3,0,0.108023,0.0214667,0.0476773,0
48000,1544,1629-3,0,0.12837,0.00985259,0.0538767,0
49000,1544,1629-3,0,0.266665,-0.0379174,0.0367007,0
49000,1628-3,1646,11.4911,0.0802374,-0.00681621,0.112372,0
50000,1544,1629-3,0,0.435652,-0.060031,0.0291164,0
51000,1544,1629-3,0,0.188096,-0.00900443,0.0416605,0
52000,1544,1629-3,0,0.193981,-0.0175713,0.0253306,0
53000,1544,1629-3,0,0.250219,-0.022453,0.0863823,0
54000,1544,1629-3,0,0.142983,0.00595022,0.00351246,0
55000,1544,1629-3,0,0.153845,-0.00872648,0.0161026,0
56000,1544,1629-3,0,0.167502,-0.012876,0.000559777,0
57000,1544,1629-3,0,0.228594,-0.0251699,0.00041441,0
58000,1544,1629-3,0,0.2973,-0.0385747,0.0830121,0
59000,1544,1629-3,0,0.22311,-0.0287733,0.0741778,0
60000,1544,1629-3,0,0.128532,-0.000992564,0.0509274,0
61000,1544,1629-3,0,0.0954295,0.0127089,0.0330774,0
62000,1544,1629-3,0,0.0812791,0.0536148,0.0257719,0
63000,1544,1629-3,0,0.170201,-0.0186169,0.0137943,0
63000,1628-3,NA,27.3143,0.171448,-0.0279208,0.0632924,0
64000,1544,1629-3,0,0.40902,-0.0339953,0.0692198,0
65000,1544,1629-3,0,0.102685,0.0400346,0.0214537,0
66000,1544,1629-3,0,0.172313,-0.00640164,0.0776706,0
67000,1544,1629-3,0,0.0691046,0.0476477,0.0190369,0
